Code Beruf,Berufsbezeichnung,Code,Bezeichnung Ausbildungsfeld
94305,"Fachmann/-frau Betreuung EFZ (Betagtenbetreuung) ",923,"Sozialarbeit und Beratung"
94307,"Fachmann/-frau Betreuung EFZ (Generalistische Ausbildung) ",923,"Sozialarbeit und Beratung"
94306,"Fachmann/-frau Betreuung EFZ (Kinderbetreuung) ",923,"Sozialarbeit und Beratung"
80200,"Fachmann/-frau Betriebsunterhalt EFZ",1011,"Hauswirtschaftliche Dienste"
95004,"Fachmann/-frau Betriebsunterhalt EFZ",1011,"Hauswirtschaftliche Dienste"
85701,"Fachmann/-frau Bewegungs-u.Ges.heitsförderung EFZ",1014,"Sport"
86914,"Fachmann/-frau Gesundheit EFZ",913,"Krankenpflege und Geburtshilfe"
86911,"Fachmann/-frau Gesundheit EFZ",913,"Krankenpflege und Geburtshilfe"
79613,"Fachmann/-frau Hauswirtschaft EFZ",1011,"Hauswirtschaftliche Dienste"
70507,"Fachmann/-frau Information u. Dokumentation EFZ",322,"Bibliothek  Informationswesen  Archiv"
76501,"Fachmann/-frau Kundendialog EFZ",416,"Gross- und Einzelhandel"
36504,"Fachmann/-frau Leder und Textil EFZ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
36506,"Fachmann/-frau Leder und Textil EFZ (Fahrzeuge und Technik) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
36507,"Fachmann/-frau Leder und Textil EFZ (Feinlederwaren) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
36505,"Fachmann/-frau Leder und Textil EFZ (Pferdesport) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
74114,"Fachmann/-frau öffentlicher Verkehr EFZ",1041,"Verkehrsdienstleistungen"
80607,"Fachmann/-frau Textilpflege EFZ",1011,"Hauswirtschaftliche Dienste"
46105,"Fahrradmechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
44903,"Fahrzeugschlosser/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
51916,"Fassadenbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51921,"Fassadenbaupraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
40312,"Feinwerkoptiker/in EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
21812,"Fleischfachassistent/in EBA",721,"Nahrungsmittel"
21807,"Fleischfachassistent/in EBA",721,"Nahrungsmittel"
21808,"Fleischfachmann/-frau EFZ",721,"Nahrungsmittel"
21806,"Fleischfachmann/-frau EFZ",721,"Nahrungsmittel"
21811,"Fleischfachmann/-frau EFZ (Feinkost und Veredelung) ",721,"Nahrungsmittel"
21809,"Fleischfachmann/-frau EFZ (Gewinnung) ",721,"Nahrungsmittel"
21810,"Fleischfachmann/-frau EFZ (Verarbeitung) ",721,"Nahrungsmittel"
33310,"Flexodrucker/in EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
17205,"Florist/in EBA",214,"Kunsthandwerk"
17204,"Florist/in EFZ",214,"Kunsthandwerk"
30905,"Formenbauer/in EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30906,"Formenpraktiker/in EBA",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
19103,"Forstpraktiker/in EBA",821,"Forstwirtschaft"
19104,"Forstwart/in EFZ",821,"Forstwirtschaft"
19102,"Forstwart/in EFZ",821,"Forstwirtschaft"
35210,"Fotofachmann/-frau EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
35213,"Fotofachmann/-frau EFZ (Beratung und Verkauf) ",211,"Audiovisuelle Techniken und Medienproduktion"
35212,"Fotofachmann/-frau EFZ (Finishing) ",211,"Audiovisuelle Techniken und Medienproduktion"
35211,"Fotofachmann/-frau EFZ (Fotografie) ",211,"Audiovisuelle Techniken und Medienproduktion"
90602,"Fotograf/in EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
17018,"Gärtner/in EBA",812,"Gartenbau"
17016,"Gärtner/in EBA (Garten- und Landschaftsbau) ",812,"Gartenbau"
17017,"Gärtner/in EBA (Pflanzenproduktion) ",812,"Gartenbau"
17000,"Gärtner/in EFZ",812,"Gartenbau"
17013,"Gärtner/in EFZ (Baumschule) ",812,"Gartenbau"
17012,"Gärtner/in EFZ (Garten- und Landschaftsbau) ",812,"Gartenbau"
17014,"Gärtner/in EFZ (Stauden) ",812,"Gartenbau"
17015,"Gärtner/in EFZ (Zierpflanzen) ",812,"Gartenbau"
80103,"Gebäudereiniger/in EBA",1011,"Hauswirtschaftliche Dienste"
80102,"Gebäudereiniger/in EFZ",1011,"Hauswirtschaftliche Dienste"
64616,"Gebäudetechnikplaner/in Heizung EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
64617,"Gebäudetechnikplaner/in Lüftung EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
64618,"Gebäudetechnikplaner/in Sanitär EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
16403,"Geflügelfachmann/-fachfrau EFZ",811,"Pflanzenbau und Tierzucht"
54207,"Geigenbauer/in",214,"Kunsthandwerk"
54213,"Geigenbauer/in EFZ",214,"Kunsthandwerk"
17011,"Gemüsegärtner/in EFZ",811,"Pflanzenbau und Tierzucht"
64104,"Geomatiker/in EFZ",731,"Architektur und Städteplanung"
51917,"Gerüstbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51922,"Gerüstbaupraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
53106,"Gestalter/in Werbetechnik EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
53108,"Gestalter/in Werbetechnik EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
,"Gestaltung und Kunst (BM2)",211,"Audiovisuelle Techniken und Medienproduktion"
,"Gesundheit und Soziales - Variante Naturwissenschaften (BM2)",919,"Gesundheit nicht andernorts klassifiziert"
,"Gesundheit und Soziales - Variante Wirtschaft und Recht (BM2)",923,"Sozialarbeit und Beratung"
25805,"Gewebegestalter/in EFZ",214,"Kunsthandwerk"
52101,"Gipser/in und Maler/in",732,"Baugewerbe  Hoch- und Tiefbau"
52001,"Gipser/in-Trockenbauer/in",732,"Baugewerbe  Hoch- und Tiefbau"
52002,"Gipser/in-Trockenbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
52003,"Gipserpraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
40403,"Glaser/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
39605,"Glasmaler/in EFZ",214,"Kunsthandwerk"
51416,"Gleisbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51422,"Gleisbaupraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
50003,"Goldschmied/in EFZ",214,"Kunsthandwerk"
50006,"Goldschmied/in EFZ (Edelsteinfassen) ",214,"Kunsthandwerk"
50004,"Goldschmied/in EFZ (Goldschmieden) ",214,"Kunsthandwerk"
50005,"Goldschmied/in EFZ (Silberschmieden) ",214,"Kunsthandwerk"
90305,"Grafiker/in EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
44305,"Graveur/in EFZ",715,"Maschinenbau und Metallverarbeitung"
51417,"Grundbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51423,"Grundbaupraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
41208,"Gussformer/in EFZ",715,"Maschinenbau und Metallverarbeitung"
41209,"Gussformer/in EFZ (Dauerformen) ",715,"Maschinenbau und Metallverarbeitung"
41210,"Gussformer/in EFZ (Verlorene Formen) ",715,"Maschinenbau und Metallverarbeitung"
41211,"Gusstechnologe/-login EFZ",715,"Maschinenbau und Metallverarbeitung"
41215,"Gusstechnologe/-login EFZ (Dauerformen Profil E) ",715,"Maschinenbau und Metallverarbeitung"
41214,"Gusstechnologe/-login EFZ (Dauerformen Profil G) ",715,"Maschinenbau und Metallverarbeitung"
41213,"Gusstechnologe/-login EFZ (Giessereimodellbau Profil E) ",715,"Maschinenbau und Metallverarbeitung"
41212,"Gusstechnologe/-login EFZ (Giessereimodellbau Profil G) ",715,"Maschinenbau und Metallverarbeitung"
41217,"Gusstechnologe/-login EFZ (Verlorene Formen Profil E) ",715,"Maschinenbau und Metallverarbeitung"
41216,"Gusstechnologe/-login EFZ (Verlorene Formen Profil G) ",715,"Maschinenbau und Metallverarbeitung"
,"Handelsschule/Handelskurs",410,"Wirtschaft und Verwaltung nicht näher definiert"
47705,"Haustechnikpraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
79614,"Hauswirtschaftspraktiker/in EBA",1011,"Hauswirtschaftliche Dienste"
79616,"Hauswirtschaftspraktiker/in EBA",1011,"Hauswirtschaftliche Dienste"
47604,"Heizungsinstallateur/in EFZ",713,"Elektrizität und Energie"
47605,"Heizungsinstallateur/in EFZ",713,"Elektrizität und Energie"
30206,"Holzbearbeiter/in EBA",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
90003,"Holzbildhauer/in EFZ",214,"Kunsthandwerk"
30203,"Holzhandwerker/in EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30204,"Holzhandwerker/in EFZ (Drechslerei) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30205,"Holzhandwerker/in EFZ (Weissküferei) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
85505,"Hörsystemakustiker/in EFZ",919,"Gesundheit nicht andernorts klassifiziert"
78403,"Hotelfachmann/-frau EFZ",1013,"Gastgewerbe und Catering"
79200,"Hotel-Kommunikationsfachmann/-frau EFZ",1013,"Gastgewerbe und Catering"
78420,"Hotellerieangestellte/r EBA",1013,"Gastgewerbe und Catering"
43703,"Hufschmied/in EFZ",715,"Maschinenbau und Metallverarbeitung"
88605,"ICT-Fachmann EFZ",612,"Datenbanken  Netzwerkdesign und -administration"
51424,"Ind.u.Unterlagsbodenbauerpraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
51418,"Industrie- und Unterlagsbodenbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
39507,"Industriekeramiker/in EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
53303,"Industrielackierer/in EFZ",715,"Maschinenbau und Metallverarbeitung"
53304,"Industrielackierer/in EFZ",715,"Maschinenbau und Metallverarbeitung"
28404,"Industriepolsterer/-polsterin EFZ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
47110,"Informatiker/in EFZ",613,"Software- und Applikationsentwicklung und -analyse"
88600,"Informatiker/in EFZ",613,"Software- und Applikationsentwicklung und -analyse"
88601,"Informatiker/in EFZ (Applikationsentwicklung) ",613,"Software- und Applikationsentwicklung und -analyse"
88602,"Informatiker/in EFZ (Betriebsinformatik) ",613,"Software- und Applikationsentwicklung und -analyse"
47112,"Informatiker/in EFZ (Generalistische Ausrichtung) ",613,"Software- und Applikationsentwicklung und -analyse"
47113,"Informatiker/in EFZ (Schwerpunkt Applikationsentwicklung) ",613,"Software- und Applikationsentwicklung und -analyse"
47114,"Informatiker/in EFZ (Schwerpunkt Support) ",613,"Software- und Applikationsentwicklung und -analyse"
47115,"Informatiker/in EFZ (Schwerpunkt Systemtechnik) ",613,"Software- und Applikationsentwicklung und -analyse"
88603,"Informatiker/in EFZ (Systemtechnik) ",613,"Software- und Applikationsentwicklung und -analyse"
47116,"Informatikpraktiker/in EBA",612,"Datenbanken  Netzwerkdesign und -administration"
28410,"Innendekorateur/in",212,"Mode  Innenarchitektur und industrielles Design"
28415,"Innendekorateur/in (Bodenbelag) ",212,"Mode  Innenarchitektur und industrielles Design"
28416,"Innendekorateur/in (Montage) ",212,"Mode  Innenarchitektur und industrielles Design"
28414,"Innendekorateur/in (Polstern) ",212,"Mode  Innenarchitektur und industrielles Design"
28418,"Innendekorateur/in (Sattlerei) ",212,"Mode  Innenarchitektur und industrielles Design"
28419,"Innendekorateur/in (Tapete) ",212,"Mode  Innenarchitektur und industrielles Design"
28417,"Innendekorateur/in (Vorhang) ",212,"Mode  Innenarchitektur und industrielles Design"
47117,"Interactive Media Designer EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
52203,"Isolierspengler/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
47805,"Kältemontage-Praktiker/in EBA",713,"Elektrizität und Energie"
47803,"Kältesystem-Monteur/in EFZ",713,"Elektrizität und Energie"
47804,"Kältesystem-Planer/in EFZ",713,"Elektrizität und Energie"
80003,"Kaminfeger/in EFZ",1011,"Hauswirtschaftliche Dienste"
68400,"Kaufmann/-frau EFZ",415,"Sekretariats- und Büroarbeit"
68500,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung) ",415,"Sekretariats- und Büroarbeit"
68501,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Automobil-Gewerbe) ",415,"Sekretariats- und Büroarbeit"
68502,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Bank) ",415,"Sekretariats- und Büroarbeit"
68508,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Bauen und Wohnen) ",415,"Sekretariats- und Büroarbeit"
68503,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Bundesverwaltung) ",415,"Sekretariats- und Büroarbeit"
68504,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Chemie) ",415,"Sekretariats- und Büroarbeit"
68505,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Dienstleistung und Administration) ",415,"Sekretariats- und Büroarbeit"
68506,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Handel) ",415,"Sekretariats- und Büroarbeit"
68507,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Hotel-Gastro-Tourismus) ",415,"Sekretariats- und Büroarbeit"
68509,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Internationale Speditionslogistik) ",415,"Sekretariats- und Büroarbeit"
68510,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Kommunikation) ",415,"Sekretariats- und Büroarbeit"
68511,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Maschinen-  Elektro- und Metallindustrie) ",415,"Sekretariats- und Büroarbeit"
68512,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Nahrungsmittel-Industrie) ",415,"Sekretariats- und Büroarbeit"
68513,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Notariate Schweiz) ",415,"Sekretariats- und Büroarbeit"
68515,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Öffentliche Verwaltung) ",415,"Sekretariats- und Büroarbeit"
68514,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Öffentlicher Verkehr) ",415,"Sekretariats- und Büroarbeit"
68516,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Privatversicherung) ",415,"Sekretariats- und Büroarbeit"
68517,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Reisebüro) ",415,"Sekretariats- und Büroarbeit"
68518,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: santésuisse) ",415,"Sekretariats- und Büroarbeit"
68519,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Spitäler/Kliniken/Heime) ",415,"Sekretariats- und Büroarbeit"
68520,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Transport) ",415,"Sekretariats- und Büroarbeit"
68521,"Kaufmann/Kauffrau EFZ (Basis-Grundbildung/Branche: Treuhand/Immobilien) ",415,"Sekretariats- und Büroarbeit"
68600,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung) ",415,"Sekretariats- und Büroarbeit"
68601,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Automobil-Gewerbe) ",415,"Sekretariats- und Büroarbeit"
68602,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Bank) ",415,"Sekretariats- und Büroarbeit"
68608,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Bauen und Wohnen) ",415,"Sekretariats- und Büroarbeit"
68603,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Bundesverwaltung) ",415,"Sekretariats- und Büroarbeit"
68604,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Chemie) ",415,"Sekretariats- und Büroarbeit"
68605,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Dienstleistung und Administration) ",415,"Sekretariats- und Büroarbeit"
68606,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Handel) ",415,"Sekretariats- und Büroarbeit"
68607,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Hotel-Gastro-Tourismus) ",415,"Sekretariats- und Büroarbeit"
68609,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Internationale Speditionslogistik) ",415,"Sekretariats- und Büroarbeit"
68610,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Kommunikation) ",415,"Sekretariats- und Büroarbeit"
68611,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Maschinen-  Elektro- und Metallindustrie) ",415,"Sekretariats- und Büroarbeit"
68612,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Nahrungsmittel-Industrie) ",415,"Sekretariats- und Büroarbeit"
68613,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Notariate Schweiz) ",415,"Sekretariats- und Büroarbeit"
68615,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Öffentliche Verwaltung) ",415,"Sekretariats- und Büroarbeit"
68614,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Öffentlicher Verkehr) ",415,"Sekretariats- und Büroarbeit"
68616,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Privatversicherung) ",415,"Sekretariats- und Büroarbeit"
68617,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Reisebüro) ",415,"Sekretariats- und Büroarbeit"
68618,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: santésuisse) ",415,"Sekretariats- und Büroarbeit"
68619,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Spitäler/Kliniken/Heime) ",415,"Sekretariats- und Büroarbeit"
68620,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Transport) ",415,"Sekretariats- und Büroarbeit"
68621,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Treuhand/Immobilien) ",415,"Sekretariats- und Büroarbeit"
39506,"Keramiker/in EFZ",214,"Kunsthandwerk"
46106,"Kleinmotorrad- u Fahrradmechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
79007,"Koch/Köchin EFZ",1013,"Gastgewerbe und Catering"
64208,"Konstrukteur/in EFZ",715,"Maschinenbau und Metallverarbeitung"
54402,"Korb- und Flechtwerkgestalter/in EFZ",214,"Kunsthandwerk"
82112,"Kosmetiker/in EFZ",1012,"Friseurgewerbe und Schönheitspflege"
79022,"Küchenangestellte/r EBA",1013,"Gastgewerbe und Catering"
31703,"Küfer/in EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38321,"Kunststofftechnologe/-login EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38326,"Kunststofftechnologe/-login EFZ (Bearbeiten von Halbzeug/Thermoformen) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38323,"Kunststofftechnologe/-login EFZ (Extrudieren) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38324,"Kunststofftechnologe/-login EFZ (Herstellen von Flächengebilden) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38325,"Kunststofftechnologe/-login EFZ (Herstellen von Verbundteilen) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38322,"Kunststofftechnologe/-login EFZ (Spritzgiessen/Pressen) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38327,"Kunststoffverarbeiter/in EBA",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
65329,"Laborant/in EFZ",711,"Chemie und Verfahrenstechnik"
65324,"Laborant/in EFZ (Biologie) ",711,"Chemie und Verfahrenstechnik"
65325,"Laborant/in EFZ (Chemie) ",711,"Chemie und Verfahrenstechnik"
65327,"Laborant/in EFZ (Farbe und Lack) ",711,"Chemie und Verfahrenstechnik"
65326,"Laborant/in EFZ (Textil) ",711,"Chemie und Verfahrenstechnik"
45305,"Lackierassisten/in EBA",715,"Maschinenbau und Metallverarbeitung"
43905,"Landmaschinenmechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
15005,"Landwirt/in EFZ",811,"Pflanzenbau und Tierzucht"
21415,"Lebensmittelpraktiker/in EBA",721,"Nahrungsmittel"
21416,"Lebensmitteltechnologe/-login EFZ",721,"Nahrungsmittel"
95505,"Logistiker/in EBA",1041,"Verkehrsdienstleistungen"
95511,"Logistiker/in EBA",1041,"Verkehrsdienstleistungen"
95504,"Logistiker/in EFZ",1041,"Verkehrsdienstleistungen"
95506,"Logistiker/in EFZ",1041,"Verkehrsdienstleistungen"
95507,"Logistiker/in EFZ (Distribution) ",1041,"Verkehrsdienstleistungen"
95508,"Logistiker/in EFZ (Lager) ",1041,"Verkehrsdienstleistungen"
95509,"Logistiker/in EFZ (Verkehr) ",1041,"Verkehrsdienstleistungen"
47906,"Lüftungsanlagenbauer/in EFZ",713,"Elektrizität und Energie"
47907,"Lüftungsanlagenbauer/in EFZ",713,"Elektrizität und Energie"
47909,"Lüftungsanlagenbauer/in EFZ (Montage) ",713,"Elektrizität und Energie"
47908,"Lüftungsanlagenbauer/in EFZ (Produktion) ",713,"Elektrizität und Energie"
53001,"Maler/in",732,"Baugewerbe  Hoch- und Tiefbau"
53002,"Maler/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
53003,"Malerpraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
39205,"Marmorist/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
75103,"Matrose/Matrosin der Binnenschifffahrt EFZ",1041,"Verkehrsdienstleistungen"
51006,"Maurer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
45906,"Mechanikpraktiker/in EBA",715,"Maschinenbau und Metallverarbeitung"
47121,"Mediamatiker/in EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
88606,"Mediamatiker/in EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
34200,"Medientechnologe/-login EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
34201,"Medientechnologe/-login EFZ (Print) ",211,"Audiovisuelle Techniken und Medienproduktion"
34202,"Medientechnologe/-login EFZ (Printmediatechnik) ",211,"Audiovisuelle Techniken und Medienproduktion"
34203,"Medientechnologe/-login EFZ (Siebdruck) ",211,"Audiovisuelle Techniken und Medienproduktion"
86910,"Medizinische Praxisassistent/in EFZ",914,"Medizinische Diagnostik und Behandlungstechnik"
86915,"Medizinische/r Praxisassistent/in EFZ",914,"Medizinische Diagnostik und Behandlungstechnik"
87101,"Medizinproduktetechnologe/-gin EFZ",914,"Medizinische Diagnostik und Behandlungstechnik"
43813,"Messerschmied/in EFZ",715,"Maschinenbau und Metallverarbeitung"
43815,"Messerschmied/in EFZ (Profil E) ",715,"Maschinenbau und Metallverarbeitung"
43814,"Messerschmied/in EFZ (Profil G) ",715,"Maschinenbau und Metallverarbeitung"
44503,"Metallbauer/in EFZ",715,"Maschinenbau und Metallverarbeitung"
44504,"Metallbauer/in EFZ (Metallbau) ",715,"Maschinenbau und Metallverarbeitung"
44505,"Metallbauer/in EFZ (Schmiedearbeiten) ",715,"Maschinenbau und Metallverarbeitung"
44507,"Metallbauer/in EFZ (Stahlbau) ",715,"Maschinenbau und Metallverarbeitung"
64404,"Metallbaukonstrukteur/in EFZ",715,"Maschinenbau und Metallverarbeitung"
44506,"Metallbaupraktiker/in EBA",715,"Maschinenbau und Metallverarbeitung"
43302,"Metalldrücker/in",715,"Maschinenbau und Metallverarbeitung"
49303,"Mikromechaniker/in EFZ",715,"Maschinenbau und Metallverarbeitung"
48308,"Mikromechaniker/in EFZ",715,"Maschinenbau und Metallverarbeitung"
49305,"Mikromechaniker/in EFZ (Décolletage) ",715,"Maschinenbau und Metallverarbeitung"
49304,"Mikromechaniker/in EFZ (Herstellung von Werkstücken auf CNC-Maschinen) ",715,"Maschinenbau und Metallverarbeitung"
49307,"Mikromechaniker/in EFZ (Prototypen) ",715,"Maschinenbau und Metallverarbeitung"
49306,"Mikromechaniker/in EFZ (Stanzwerkzeuge/Giessformen) ",715,"Maschinenbau und Metallverarbeitung"
65017,"Mikrozeichner/in",715,"Maschinenbau und Metallverarbeitung"
65018,"Mikrozeichner/in EFZ",715,"Maschinenbau und Metallverarbeitung"
48309,"Mikrozeichner/in EFZ",715,"Maschinenbau und Metallverarbeitung"
65023,"Mikrozeichner/in EFZ (Prototypen) ",715,"Maschinenbau und Metallverarbeitung"
65022,"Mikrozeichner/in EFZ (Stanzwerkzeuge/Giessformen) ",715,"Maschinenbau und Metallverarbeitung"
21604,"Milchpraktiker/in EBA",721,"Nahrungsmittel"
21607,"Milchpraktiker/in EBA",721,"Nahrungsmittel"
21605,"Milchtechnologe/-login EFZ",721,"Nahrungsmittel"
21606,"Milchtechnologe/-login EFZ",721,"Nahrungsmittel"
47419,"Montage-Elektriker/in EFZ",713,"Elektrizität und Energie"
47414,"Montage-Elektriker/in EFZ",713,"Elektrizität und Energie"
43907,"Motorgerätemechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
46204,"Motorradmechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
21005,"Müller/in EFZ",721,"Nahrungsmittel"
21006,"Müller/in EFZ (Lebensmittel) ",721,"Nahrungsmittel"
21007,"Müller/in EFZ (Tiernahrung) ",721,"Nahrungsmittel"
47005,"Multimediaelektroniker/in",714,"Elektronik und Automation"
47006,"Multimediaelektroniker/in EFZ",714,"Elektronik und Automation"
47107,"Multimediagestalter/in",211,"Audiovisuelle Techniken und Medienproduktion"
54214,"Musikinstrumentenbauer/in EFZ",214,"Kunsthandwerk"
54208,"Musikinstrumentenbauer/in EFZ (Blasinstrumentenbau) ",214,"Kunsthandwerk"
54209,"Musikinstrumentenbauer/in EFZ (Blasinstrumentenreparateur) ",214,"Kunsthandwerk"
54210,"Musikinstrumentenbauer/in EFZ (Klavierbau) ",214,"Kunsthandwerk"
54211,"Musikinstrumentenbauer/in EFZ (Orgelbau) ",214,"Kunsthandwerk"
54212,"Musikinstrumentenbauer/in EFZ (Orgelpfeifenbau) ",214,"Kunsthandwerk"
,"Natur  Landschaft und Lebensmittel (BM2)",812,"Gartenbau"
47417,"Netzelektriker/in EFZ",713,"Elektrizität und Energie"
,"Nur BM1 (Berufskunde an anderer Schule)",9999,"Feld unbekannt"
42003,"Oberflächenbeschichter/in EFZ",715,"Maschinenbau und Metallverarbeitung"
42004,"Oberflächenpraktiker/in EBA",715,"Maschinenbau und Metallverarbeitung"
49706,"Oberflächenveredler/in Uhren und Schmuck EFZ",715,"Maschinenbau und Metallverarbeitung"
49707,"Oberflächenveredler/in Uhren und Schmuck EFZ",715,"Maschinenbau und Metallverarbeitung"
16003,"Obstfachmann/-fachfrau EFZ",811,"Pflanzenbau und Tierzucht"
51204,"Ofenbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
