Code Beruf,Berufsbezeichnung,Code,Bezeichnung Ausbildungsfeld
71229,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Do-it-yourself) ",416,"Gross- und Einzelhandel"
71226,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Eisenwaren) ",416,"Gross- und Einzelhandel"
71225,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Elektrofach) ",416,"Gross- und Einzelhandel"
71223,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Farben) ",416,"Gross- und Einzelhandel"
71214,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Fleischwirtschaft) ",416,"Gross- und Einzelhandel"
71293,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Flower) ",416,"Gross- und Einzelhandel"
71220,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Garden) ",416,"Gross- und Einzelhandel"
71227,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Haushalt) ",416,"Gross- und Einzelhandel"
71297,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Kiosk) ",416,"Gross- und Einzelhandel"
71294,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Landi) ",416,"Gross- und Einzelhandel"
71218,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Lederwaren und Reiseartikel) ",416,"Gross- und Einzelhandel"
71224,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Möbel) ",416,"Gross- und Einzelhandel"
71292,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Musikinstrumente) ",416,"Gross- und Einzelhandel"
71211,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Nahrungs- und Genussmittel) ",416,"Gross- und Einzelhandel"
71230,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: öffentlicher Verkehr) ",416,"Gross- und Einzelhandel"
71222,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Papeterie) ",416,"Gross- und Einzelhandel"
71219,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Parfümerie) ",416,"Gross- und Einzelhandel"
71298,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Post) ",416,"Gross- und Einzelhandel"
71217,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Schuhe) ",416,"Gross- und Einzelhandel"
71209,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Spielwaren) ",416,"Gross- und Einzelhandel"
71210,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Sportartikel) ",416,"Gross- und Einzelhandel"
71228,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Teppich und Bodenbeläge) ",416,"Gross- und Einzelhandel"
71216,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Textil) ",416,"Gross- und Einzelhandel"
71206,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Uhren-Schmuck-Edelsteine) ",416,"Gross- und Einzelhandel"
71221,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche: Zoofachhandel) ",416,"Gross- und Einzelhandel"
71204,"Detailhandelsfachmann/-frau EFZ (Beratung/Branche:Ton-Bildträger und Musikalien) ",416,"Gross- und Einzelhandel"
71605,"Detailhandelsfachmann/-frau EFZ (Beratung/Consumer-Electronics) ",416,"Gross- und Einzelhandel"
71629,"Detailhandelsfachmann/-frau EFZ (Beratung/Do-it-yourself) ",416,"Gross- und Einzelhandel"
71626,"Detailhandelsfachmann/-frau EFZ (Beratung/Eisenwaren) ",416,"Gross- und Einzelhandel"
71625,"Detailhandelsfachmann/-frau EFZ (Beratung/Elektrofach) ",416,"Gross- und Einzelhandel"
71623,"Detailhandelsfachmann/-frau EFZ (Beratung/Farben) ",416,"Gross- und Einzelhandel"
71614,"Detailhandelsfachmann/-frau EFZ (Beratung/Fleischwirtschaft) ",416,"Gross- und Einzelhandel"
71693,"Detailhandelsfachmann/-frau EFZ (Beratung/Flower) ",416,"Gross- und Einzelhandel"
71620,"Detailhandelsfachmann/-frau EFZ (Beratung/Garden) ",416,"Gross- und Einzelhandel"
71627,"Detailhandelsfachmann/-frau EFZ (Beratung/Haushalt) ",416,"Gross- und Einzelhandel"
71697,"Detailhandelsfachmann/-frau EFZ (Beratung/Kiosk) ",416,"Gross- und Einzelhandel"
71694,"Detailhandelsfachmann/-frau EFZ (Beratung/Landi) ",416,"Gross- und Einzelhandel"
71618,"Detailhandelsfachmann/-frau EFZ (Beratung/Lederwaren und Reiseartikel) ",416,"Gross- und Einzelhandel"
71624,"Detailhandelsfachmann/-frau EFZ (Beratung/Möbel) ",416,"Gross- und Einzelhandel"
71692,"Detailhandelsfachmann/-frau EFZ (Beratung/Musikinstrumente) ",416,"Gross- und Einzelhandel"
71611,"Detailhandelsfachmann/-frau EFZ (Beratung/Nahrungs- und Genussmittel) ",416,"Gross- und Einzelhandel"
71630,"Detailhandelsfachmann/-frau EFZ (Beratung/Öffentlicher Verkehr) ",416,"Gross- und Einzelhandel"
71622,"Detailhandelsfachmann/-frau EFZ (Beratung/Papeterie) ",416,"Gross- und Einzelhandel"
71619,"Detailhandelsfachmann/-frau EFZ (Beratung/Parfümerie) ",416,"Gross- und Einzelhandel"
71698,"Detailhandelsfachmann/-frau EFZ (Beratung/Post) ",416,"Gross- und Einzelhandel"
71617,"Detailhandelsfachmann/-frau EFZ (Beratung/Schuhe) ",416,"Gross- und Einzelhandel"
71609,"Detailhandelsfachmann/-frau EFZ (Beratung/Spielwaren) ",416,"Gross- und Einzelhandel"
71610,"Detailhandelsfachmann/-frau EFZ (Beratung/Sportartikel) ",416,"Gross- und Einzelhandel"
71628,"Detailhandelsfachmann/-frau EFZ (Beratung/Teppich und Bodenbeläge) ",416,"Gross- und Einzelhandel"
71616,"Detailhandelsfachmann/-frau EFZ (Beratung/Textil) ",416,"Gross- und Einzelhandel"
71606,"Detailhandelsfachmann/-frau EFZ (Beratung/Uhren-Schmuck-Edelsteine) ",416,"Gross- und Einzelhandel"
71621,"Detailhandelsfachmann/-frau EFZ (Beratung/Zoofachhandel) ",416,"Gross- und Einzelhandel"
71300,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung) ",416,"Gross- und Einzelhandel"
71700,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung) ",416,"Gross- und Einzelhandel"
71795,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Autoteile-Logistik) ",416,"Gross- und Einzelhandel"
71395,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Autoteile-Logistik) ",416,"Gross- und Einzelhandel"
71312,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Bäckerei/Konditorei/Confiserie) ",416,"Gross- und Einzelhandel"
71305,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Consumer-Electronics) ",416,"Gross- und Einzelhandel"
71329,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Do-it-yourself) ",416,"Gross- und Einzelhandel"
71326,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Eisenwaren) ",416,"Gross- und Einzelhandel"
71325,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Elektrofach) ",416,"Gross- und Einzelhandel"
71323,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Farben) ",416,"Gross- und Einzelhandel"
71314,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Fleischwirtschaft) ",416,"Gross- und Einzelhandel"
71393,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Flower) ",416,"Gross- und Einzelhandel"
71320,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Garden) ",416,"Gross- und Einzelhandel"
71327,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Haushalt) ",416,"Gross- und Einzelhandel"
71397,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Kiosk) ",416,"Gross- und Einzelhandel"
71394,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Landi) ",416,"Gross- und Einzelhandel"
71318,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Lederwaren und Reiseartikel) ",416,"Gross- und Einzelhandel"
71324,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Möbel) ",416,"Gross- und Einzelhandel"
71392,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Musikinstrumente) ",416,"Gross- und Einzelhandel"
71311,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Nahrungs- und Genussmittel) ",416,"Gross- und Einzelhandel"
71322,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Papeterie) ",416,"Gross- und Einzelhandel"
71319,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Parfümerie) ",416,"Gross- und Einzelhandel"
71398,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Post) ",416,"Gross- und Einzelhandel"
71317,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Schuhe) ",416,"Gross- und Einzelhandel"
71309,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Spielwaren) ",416,"Gross- und Einzelhandel"
71310,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Sportartikel) ",416,"Gross- und Einzelhandel"
71328,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Teppich und Bodenbeläge) ",416,"Gross- und Einzelhandel"
71316,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Textil) ",416,"Gross- und Einzelhandel"
71306,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Uhren-Schmuck-Edelsteine) ",416,"Gross- und Einzelhandel"
71321,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche: Zoofachhandel) ",416,"Gross- und Einzelhandel"
71304,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Branche:Ton-Bildträger und Musikalien) ",416,"Gross- und Einzelhandel"
71714,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Fleischwirtschaft) ",416,"Gross- und Einzelhandel"
71793,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Flower) ",416,"Gross- und Einzelhandel"
71727,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Haushalt) ",416,"Gross- und Einzelhandel"
71797,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Kiosk) ",416,"Gross- und Einzelhandel"
71711,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Nahrungs- und Genussmittel) ",416,"Gross- und Einzelhandel"
71716,"Detailhandelsfachmann/-frau EFZ (Bewirtschaftung/Textil) ",416,"Gross- und Einzelhandel"
79004,"Diätkoch/-köchin EFZ",1013,"Gastgewerbe und Catering"
70604,"Drogist/in EFZ",416,"Gross- und Einzelhandel"
34125,"Drucktechnologe/-gin EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
34128,"Drucktechnologe/-login EFZ (Bogendruck) ",211,"Audiovisuelle Techniken und Medienproduktion"
34127,"Drucktechnologe/-login EFZ (Reprografie) ",211,"Audiovisuelle Techniken und Medienproduktion"
34129,"Drucktechnologe/-login EFZ (Rollendruck) ",211,"Audiovisuelle Techniken und Medienproduktion"
34126,"Drucktechnologe/-login EFZ (Siebdruck) ",211,"Audiovisuelle Techniken und Medienproduktion"
47413,"Elektroinstallateur/in EFZ",713,"Elektrizität und Energie"
47418,"Elektroinstallateur/in EFZ",713,"Elektrizität und Energie"
46505,"Elektroniker/in EFZ",714,"Elektronik und Automation"
64504,"Elektroplaner/in EFZ",713,"Elektrizität und Energie"
64505,"Elektroplaner/in EFZ",713,"Elektrizität und Energie"
52505,"Entwässerungspraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
52504,"Entwässerungstechnologe/-technologin EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
33302,"Etuismacher/in",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
79615,"Fachmann/Fachfrau Hauswirtschaft EFZ",1011,"Hauswirtschaftliche Dienste"
94303,"Fachmann/-frau Betreuung EFZ",923,"Sozialarbeit und Beratung"
94304,"Fachmann/-frau Betreuung EFZ (Behindertenbetreuung) ",923,"Sozialarbeit und Beratung"
