"Bildungsfeld","Weiblich","Männlich"
"Geisteswissenschaften und Künste",57.1,42.9
"Wirtschaft Verwaltung und Recht",57.3,42.7
"Informatik und Kommunikationstechnologie",10.7,89.3
"Ingenieurwesen verarbeitendes Gewerbe und Baugewerbe",12.9,87.1
"Landwirtschaft Forstwirtschaft Fischerei und Tiermedizin",42.6,57.4
"Gesundheit und Sozialwesen",85.3,14.7
"Dienstleistungen",38.2,61.8
"nicht zugeordnet",46.1,53.9
